otu;size;identity;phylum;class;order;family;genus;genus_0;genus_1
Otu085;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Listeriaceae(100);Listeria(100);Listeria_unclassified(100);Listeria_unclassified(100);
Otu086;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu087;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillaceae_unclassified(100);Bacillaceae_unclassified(100);Bacillaceae_unclassified(100);
Otu088;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu089;1;Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(100);Rhizobiales_unclassified(100);Rhizobiales_unclassified(100);Rhizobiales_unclassified(100);
Otu090;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu091;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu092;1;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu093;1;Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu094;1;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);Stenotrophomonas_unclassified(100);Stenotrophomonas_unclassified(100);
Otu095;1;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu096;1;Bacteria(100);Bacteroidetes(100);Flavobacteria(100);Flavobacteriales(100);Cryomorphaceae(100);Fluviicola(100);Fluviicola_unclassified(100);Fluviicola_unclassified(100);
Otu097;1;Bacteria(100);Bacteroidetes(100);Flavobacteria(100);Flavobacteriales(100);Cryomorphaceae(100);Cryomorphaceae_unclassified(100);Cryomorphaceae_unclassified(100);Cryomorphaceae_unclassified(100);
Otu098;1;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);
Otu099;1;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu100;1;Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu101;1;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Aeromonadaceae(100);Aeromonas(100);Aeromonas_unclassified(100);Aeromonas_unclassified(100);
Otu102;1;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu103;1;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu104;1;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu105;1;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu106;1;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);Escherichia/Shigella_unclassified(100);Escherichia/Shigella_unclassified(100);
